role,current_path,target_path,change_type,priority,notes
manuscript_figure_dir,DISC,figures/manuscript,move_and_rewire,high,Primary manuscript-facing figure directory
appendix_figure_dir,generated/setup_support_by_cutoff_v2_appendix,figures/appendix_cutoff_panels,move_and_rewire,high,Appendix panels are manuscript-facing figures and should live under figures
manuscript_table_dir,generated/article_table_includes,tables/generated_tex,move_and_rewire,high,Generated table blocks used directly by TeX
artifact_family,generated/exal_m_t1_20221225,artifacts/representative_selected_model_2022_12_25,move_and_rewire,high,Representative selected-model artifact freeze
artifact_family,generated/exal_m_t1_five_run_sources,artifacts/five_cutoff_crps_validation_sources,move_and_rewire,high,Five-cutoff CRPS validation source freeze
artifact_family,generated/current_model_output_support,artifacts/historical_support_from_current_models,move_and_rewire,high,Current-output historical support artifacts
artifact_family,generated/setup_support_by_cutoff_v2,artifacts/five_cutoff_setup_support,move_and_rewire,high,Canonical five-cutoff setup/support family
artifact_family,generated/he2_publication_manifest_snapshot,artifacts/he2_publication_freeze,move_and_rewire,medium,Frozen HE2 publication snapshot
artifact_family,generated/he2_historical_support_audit_20260507,artifacts/he2_historical_support_audit,move_and_rewire,medium,Audit artifact family
report_family,generated/article_asset_review,reports/manuscript_asset_review,move_and_rewire,medium,Review outputs for current manuscript assets
report_family,generated/article_asset_selection,reports/manuscript_figure_selection,move_and_rewire,medium,Selection manifest for manuscript-facing figures
report_family,generated/setup_support_by_cutoff_v2_review,reports/five_cutoff_setup_support_review,move_and_rewire,medium,Review outputs for setup/support family
report_family,generated/setup_support_by_cutoff_v2_article_selection,reports/representative_setup_selection,move_and_rewire,medium,Selection manifest for representative setup/support promotion
doc_file,FIGURE_TABLE_PROVENANCE.md,docs/figure_table_provenance.md,move_and_rewire,medium,Long-form provenance doc
doc_file,EXAL_M_T1_ARTIFACT_RUN_MAP.md,docs/exal_m_t1_artifact_run_map.md,move_and_rewire,medium,Run/artifact mapping doc
doc_file,MANUSCRIPT_REVISION_CHECKLIST.md,docs/manuscript_revision_checklist.md,move_and_rewire,medium,Revision planning doc
doc_file,EXAL_M_T1_RELAUNCH_CHECKLIST.md,docs/exal_m_t1_relaunch_checklist.md,move_and_rewire,low,Relaunch/runbook doc
doc_file,generated/article_asset_review/ARTICLE_REPO_CLEANUP_AUDIT.md,docs/article_repo_cleanup_audit.md,copy_or_move,low,Human-readable cleanup audit should live in docs
manuscript_figure_file,DISC/usgs.png,figures/manuscript/site_context_usgs.png,rename_and_rewire,high,Representative setup/support figure
manuscript_figure_file,DISC/precip_soilmoisture_climatePC1_faceted_labeled.png,figures/manuscript/covariate_context_precip_soil_gdpc.png,rename_and_rewire,high,Representative covariate context figure
manuscript_figure_file,DISC/retrospective_log_discharge_plot_faceted.png,figures/manuscript/retrospective_products_context.png,rename_and_rewire,high,Representative retrospective-products context figure
manuscript_figure_file,DISC/forecats.png,figures/manuscript/forecast_products_context.png,rename_and_rewire,high,Representative forecast-products context figure
manuscript_figure_file,DISC/All_exal_2012-2016_DISC.png,figures/manuscript/historical_summary_dry_period.png,rename_and_rewire,high,Historical dry-period summary
manuscript_figure_file,DISC/All_exal_2017-2019_DISC.png,figures/manuscript/historical_summary_wet_period.png,rename_and_rewire,high,Historical wet-period summary
manuscript_figure_file,DISC/posterior_samples_valid.png,figures/manuscript/representative_synthesis_multivariate.png,rename_and_rewire,high,Representative synthesis figure
manuscript_figure_file,DISC/80_component_1991_2022.png,figures/manuscript/historical_component_80month.png,rename_and_rewire,high,Historical long-cycle component figure
manuscript_figure_file,DISC/posterior_samples_counter_valid.png,figures/manuscript/reference_synthesis_univariate.png,rename_and_rewire,high,Reference univariate synthesis figure
appendix_panel_file,generated/setup_support_by_cutoff_v2_appendix/20210123_exal_m_t1_panel.png,figures/appendix_cutoff_panels/cutoff_2021_01_23_setup_support.png,rename_and_rewire,high,Appendix setup/support panel
appendix_panel_file,generated/setup_support_by_cutoff_v2_appendix/20211112_exal_m_t1_panel.png,figures/appendix_cutoff_panels/cutoff_2021_11_12_setup_support.png,rename_and_rewire,high,Appendix setup/support panel
appendix_panel_file,generated/setup_support_by_cutoff_v2_appendix/20211221_exal_m_t1_panel.png,figures/appendix_cutoff_panels/cutoff_2021_12_21_setup_support.png,rename_and_rewire,high,Appendix setup/support panel
appendix_panel_file,generated/setup_support_by_cutoff_v2_appendix/20220511_exal_m_t1_panel.png,figures/appendix_cutoff_panels/cutoff_2022_05_11_setup_support.png,rename_and_rewire,high,Appendix setup/support panel
appendix_panel_file,generated/setup_support_by_cutoff_v2_appendix/20221225_exal_m_t1_panel.png,figures/appendix_cutoff_panels/cutoff_2022_12_25_setup_support.png,rename_and_rewire,high,Appendix setup/support panel
table_file,generated/article_table_includes/table_benchmark_crps_block.tex,tables/generated_tex/benchmark_crps_main_table.tex,rename_and_rewire,high,Main benchmark CRPS table block
table_file,generated/article_table_includes/table_components_23_31_block.tex,tables/generated_tex/representative_covariate_effects_table.tex,rename_and_rewire,high,Representative covariate-effects table block
table_file,generated/article_table_includes/table_gamma_block.tex,tables/generated_tex/appendix_gamma_summary_table.tex,rename_and_rewire,high,Appendix gamma summary table block
table_file,generated/article_table_includes/table_sigma_block.tex,tables/generated_tex/appendix_sigma_summary_table.tex,rename_and_rewire,high,Appendix sigma summary table block
